,sepal_length,sepal_width,petal_length,petal_width,species,col_date
35,5.0,3.2,1.2,0.2,setosa,2021-11-07
36,5.5,3.5,1.3,0.2,setosa,2021-11-07
37,4.9,3.6,1.4,0.1,setosa,2021-11-07
38,4.4,3.0,1.3,0.2,setosa,2021-11-07
39,5.1,3.4,1.5,0.2,setosa,2021-11-07
40,5.0,3.5,1.3,0.3,setosa,2021-11-07
41,4.5,2.3,1.3,0.3,setosa,2021-11-07
42,4.4,3.2,1.3,0.2,setosa,2021-11-07
43,5.0,3.5,1.6,0.6,setosa,2021-11-07
44,5.1,3.8,1.9,0.4,setosa,2021-11-07
45,4.8,3.0,1.4,0.3,setosa,2021-11-07
46,5.1,3.8,1.6,0.2,setosa,2021-11-07
47,4.6,3.2,1.4,0.2,setosa,2021-11-07
48,5.3,3.7,1.5,0.2,setosa,2021-11-07
49,5.0,3.3,1.4,0.2,setosa,2021-11-07
50,7.0,3.2,4.7,1.4,versicolor,2021-11-07
51,6.4,3.2,4.5,1.5,versicolor,2021-11-07
52,6.9,3.1,4.9,1.5,versicolor,2021-11-07
53,5.5,2.3,4.0,1.3,versicolor,2021-11-07
54,6.5,2.8,4.6,1.5,versicolor,2021-11-07
55,5.7,2.8,4.5,1.3,versicolor,2021-11-07
56,6.3,3.3,4.7,1.6,versicolor,2021-11-07
57,4.9,2.4,3.3,1.0,versicolor,2021-11-07
58,6.6,2.9,4.6,1.3,versicolor,2021-11-07
59,5.2,2.7,3.9,1.4,versicolor,2021-11-07
60,5.0,2.0,3.5,1.0,versicolor,2021-11-07
61,5.9,3.0,4.2,1.5,versicolor,2021-11-07
62,6.0,2.2,4.0,1.0,versicolor,2021-11-07
63,6.1,2.9,4.7,1.4,versicolor,2021-11-07
64,5.6,2.9,3.6,1.3,versicolor,2021-11-07
65,6.7,3.1,4.4,1.4,versicolor,2021-11-07
66,5.6,3.0,4.5,1.5,versicolor,2021-11-07
67,5.8,2.7,4.1,1.0,versicolor,2021-11-07
68,6.2,2.2,4.5,1.5,versicolor,2021-11-07
69,5.6,2.5,3.9,1.1,versicolor,2021-11-07
70,5.9,3.2,4.8,1.8,versicolor,2021-11-07
71,6.1,2.8,4.0,1.3,versicolor,2021-11-07
72,6.3,2.5,4.9,1.5,versicolor,2021-11-07
73,6.1,2.8,4.7,1.2,versicolor,2021-11-07
74,6.4,2.9,4.3,1.3,versicolor,2021-11-07
75,6.6,3.0,4.4,1.4,versicolor,2021-11-07
76,6.8,2.8,4.8,1.4,versicolor,2021-11-07
77,6.7,3.0,5.0,1.7,versicolor,2021-11-07
78,6.0,2.9,4.5,1.5,versicolor,2021-11-07
79,5.7,2.6,3.5,1.0,versicolor,2021-11-07
80,5.5,2.4,3.8,1.1,versicolor,2021-11-07
81,5.5,2.4,3.7,1.0,versicolor,2021-11-07
82,5.8,2.7,3.9,1.2,versicolor,2021-11-07
83,6.0,2.7,5.1,1.6,versicolor,2021-11-07
84,5.4,3.0,4.5,1.5,versicolor,2021-11-07
85,6.0,3.4,4.5,1.6,versicolor,2021-11-07
86,6.7,3.1,4.7,1.5,versicolor,2021-11-07
87,6.3,2.3,4.4,1.3,versicolor,2021-11-07
88,5.6,3.0,4.1,1.3,versicolor,2021-11-07
89,5.5,2.5,4.0,1.3,versicolor,2021-11-07
90,5.5,2.6,4.4,1.2,versicolor,2021-11-07
91,6.1,3.0,4.6,1.4,versicolor,2021-11-07
92,5.8,2.6,4.0,1.2,versicolor,2021-11-07
93,5.0,2.3,3.3,1.0,versicolor,2021-11-07
94,5.6,2.7,4.2,1.3,versicolor,2021-11-07
95,5.7,3.0,4.2,1.2,versicolor,2021-11-07
96,5.7,2.9,4.2,1.3,versicolor,2021-11-07
97,6.2,2.9,4.3,1.3,versicolor,2021-11-07
98,5.1,2.5,3.0,1.1,versicolor,2021-11-07
99,5.7,2.8,4.1,1.3,versicolor,2021-11-07
100,6.3,3.3,6.0,2.5,virginica,2021-11-07
101,5.8,2.7,5.1,1.9,virginica,2021-11-07
102,7.1,3.0,5.9,2.1,virginica,2021-11-07
103,6.3,2.9,5.6,1.8,virginica,2021-11-07
104,6.5,3.0,5.8,2.2,virginica,2021-11-07
105,7.6,3.0,6.6,2.1,virginica,2021-11-07
106,4.9,2.5,4.5,1.7,virginica,2021-11-07
107,7.3,2.9,6.3,1.8,virginica,2021-11-07
108,6.7,2.5,5.8,1.8,virginica,2021-11-07
109,7.2,3.6,6.1,2.5,virginica,2021-11-07
110,6.5,3.2,5.1,2.0,virginica,2021-11-07
111,6.4,2.7,5.3,1.9,virginica,2021-11-07
112,6.8,3.0,5.5,2.1,virginica,2021-11-07
113,5.7,2.5,5.0,2.0,virginica,2021-11-07
114,5.8,2.8,5.1,2.4,virginica,2021-11-07
115,6.4,3.2,5.3,2.3,virginica,2021-11-07
116,6.5,3.0,5.5,1.8,virginica,2021-11-07
117,7.7,3.8,6.7,2.2,virginica,2021-11-07
118,7.7,2.6,6.9,2.3,virginica,2021-11-07
119,6.0,2.2,5.0,1.5,virginica,2021-11-07
120,6.9,3.2,5.7,2.3,virginica,2021-11-07
121,5.6,2.8,4.9,2.0,virginica,2021-11-07
122,7.7,2.8,6.7,2.0,virginica,2021-11-07
123,6.3,2.7,4.9,1.8,virginica,2021-11-07
124,6.7,3.3,5.7,2.1,virginica,2021-11-07
125,7.2,3.2,6.0,1.8,virginica,2021-11-07
126,6.2,2.8,4.8,1.8,virginica,2021-11-07
127,6.1,3.0,4.9,1.8,virginica,2021-11-07
128,6.4,2.8,5.6,2.1,virginica,2021-11-07
129,7.2,3.0,5.8,1.6,virginica,2021-11-07
130,7.4,2.8,6.1,1.9,virginica,2021-11-07
131,7.9,3.8,6.4,2.0,virginica,2021-11-07
132,6.4,2.8,5.6,2.2,virginica,2021-11-07
133,6.3,2.8,5.1,1.5,virginica,2021-11-07
134,6.1,2.6,5.6,1.4,virginica,2021-11-07
135,7.7,3.0,6.1,2.3,virginica,2021-11-07
136,6.3,3.4,5.6,2.4,virginica,2021-11-07
137,6.4,3.1,5.5,1.8,virginica,2021-11-07
138,6.0,3.0,4.8,1.8,virginica,2021-11-07
139,6.9,3.1,5.4,2.1,virginica,2021-11-07
140,6.7,3.1,5.6,2.4,virginica,2021-11-07
141,6.9,3.1,5.1,2.3,virginica,2021-11-07
142,5.8,2.7,5.1,1.9,virginica,2021-11-07
143,6.8,3.2,5.9,2.3,virginica,2021-11-07
144,6.7,3.3,5.7,2.5,virginica,2021-11-07
145,6.7,3.0,5.2,2.3,virginica,2021-11-07
146,6.3,2.5,5.0,1.9,virginica,2021-11-07
147,6.5,3.0,5.2,2.0,virginica,2021-11-07
148,6.2,3.4,5.4,2.3,virginica,2021-11-07
149,5.9,3.0,5.1,1.8,virginica,2021-11-07
