,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER
10,11,60143613948.0,OLIVE GROVE CHARTER,4500 HIGHWAY 166,NEW CUYAMA,CA,93254,9720,(805) 623-1111,1,1,544,SANTA BARBARA,6083,USA,34.94366514,-119.6746808,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060143613948,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,http://www.olivegrovecharter.org,OTHER,521,KG,12,601436,23
11,12,60177013871.0,THE ACADEMY OF ALAMEDA ELEMENTARY,401 PACIFIC AVE.,ALAMEDA,CA,94501,1837,(510) 748-4017,1,1,211,ALAMEDA,6001,USA,37.7770448,-122.2854205,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060177013871,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,http://www.aoaschools.org,ELEMENTARY,203,KG,5,601770,8
12,13,60558013869.0,JIM?NEZ ROBERTO AND DR. FRANCISCO ELEMENTARY SCHOOL,1970 S. BISCAYNE ST.,SANTA MARIA,CA,93458,3411,(805) 361-8112,1,1,1007,SANTA BARBARA,6083,USA,34.92515731,-120.4503393,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060558013869,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,http://www.smbsd.org,ELEMENTARY,969,KG,6,605580,FT_TEACHER
13,14,60645013886.0,BURBANK UNIFIED INDEPENDENT LEARNING ACADEMY (BUILA),3715 ALLAN AVE.,BURBANK,CA,91505,None,(818) 558-5353,4,1,95,LOS ANGELES,6037,USA,34.17834968,-118.3511352,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060645013886,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,http://www.burbankusd.org,HIGH,93,7,12,606450,2
14,15,62805013864.0,CASTLEMONT PRIMARY ACADEMY,8711 MACARTHUR BLVD.,OAKLAND,CA,94605,4000,(510) 457-6900,1,2, ,ALAMEDA,6001,USA,37.75775227,-122.1630315,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062805013864,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.cctschools.org,NOT REPORTED,-999,M,M,628050,nan
15,16,62805013942.0,FRANCOPHONE CHARTER SCHOOL OF OAKLAND,9736 LAWLOR ST.,OAKLAND,CA,94605,4735,(510) 394-4110,1,1,200,ALAMEDA,6001,USA,37.75143485,-122.1570218,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062805013942,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.francophoneschool.wordpress.com,ELEMENTARY,190,KG,8,628050,10
16,17,62958013949.0,INNOVATIONS ACADEMY OF PALMDALE,38136 35TH ST. E.,PALMDALE,CA,93550,5003,(661) 265-8908,4,1,57,LOS ANGELES,6037,USA,34.57572695,-118.066505,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062958013949,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.palmdalesd.org/domain/33,ELEMENTARY,55,KG,8,629580,2
17,18,63003013962.0,OPEN VALLEY INDEPENDENT STUDY,535 PEREGRINE DR.,PATTERSON,CA,95363,2232,(209) 892-4745,4,1,71,STANISLAUS,6099,USA,37.47573276,-121.1403191,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063003013962,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://patterson.k12.ca.us/ovis/,OTHER,69,KG,12,630030,2
18,19,69102813911.0,PINNACLES COMMUNITY,3230 S.SIDE RD.,HOLLISTER,CA,95023,9174,(831) 636-2870,4,1,11,SAN BENITO,6069,USA,36.85456394,-121.3969087,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=069102813911,10/23/2018 0:00,IMAGERY/OTHER,3/20/2020 0:00,http://www.sbcoe.org,HIGH,10,5,12,691028,1
19,20,69104413934.0,TRINITY COUNTY COMMUNITY,333 TOM BELL RD.,WEAVERVILLE,CA,96093,None,(530) 623-2861,4,1, ,TRINITY,6105,USA,40.74544799,-122.9263203,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=069104413934,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.tcoek12.org,OTHER,0,KG,12,691044,FT_TEACHER
20,21,69105113887.0,OAKLAND UNITY MIDDLE,7200 BANCROFT AVE.,OAKLAND,CA,94605,2403,(510) 969-5302,1,1,186,ALAMEDA,6001,USA,37.77367223,-122.1850744,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=069105113887,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.unitymiddle.org,MIDDLE,179,6,8,691051,7
21,22,110000000000.0,RIVER TERRACE EC,405 ANACOSTIA AVE NE,WASHINGTON,DC,20019,None,(202) 442-7111,2,1,159,DISTRICT OF COLUMBIA,11001,USA,38.89529783,-76.95784105,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110003000506,10/23/2018 0:00,IMAGERY/OTHER,3/31/2020 0:00,http://www.dcps.dc.gov,OTHER,137,3,12,1100030,22
22,23,110000000000.0,KINGSMAN ACADEMY PCS,1375 E ST NE,WASHINGTON,DC,20002,None,(202) 547-1028,1,1,275,DISTRICT OF COLUMBIA,11001,USA,38.89582341,-76.98621682,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110009900502,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.kingsmanacademy.org,HIGH,252,6,12,1100099,23
23,24,110000000000.0,FRIENDSHIP PCS ARMSTRONG,1400 1ST NW,WASHINGTON,DC,20001,None,(202) 572-1070,1,1,404,DISTRICT OF COLUMBIA,11001,USA,38.90899547,-77.01325325,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110000800497,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.friendshipschools.org,ELEMENTARY,395,PK,5,1100008,9
24,25,110000000000.0,VAN NESS ES,1150 5TH ST SE,WASHINGTON,DC,20003,None,(202) 727-4314,1,1,231,DISTRICT OF COLUMBIA,11001,USA,38.88090517,-76.99236432,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110003000505,10/23/2018 0:00,IMAGERY/OTHER,2/14/2019 0:00,http://www.dcps.dc.gov,ELEMENTARY,215,PK,2,1100030,16
25,26,110000000000.0,TWO RIVERS PCS YOUNG,820 26TH ST NE,WASHINGTON,DC,20002,None,(202) 388-1360,1,1,300,DISTRICT OF COLUMBIA,11001,USA,38.90109923,-76.97126623,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110004500498,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.tworiverspcs.org,ELEMENTARY,284,PK,3,1100045,16
26,27,110000000000.0,MONUMENT ACADEMY PCS,500 19TH ST NE,WASHINGTON,DC,20002,None,(202) 545-3180,1,1,131,DISTRICT OF COLUMBIA,11001,USA,38.89667547,-76.9774468,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110010000500,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.monumentacademy.org/,MIDDLE,116,5,7,1100100,15
27,28,120000000000.0,RIVER CITY SCIENCE ACADEMY AT MANDARIN,10911 OLD ST AUGUSTINE RD,JACKSONVILLE,FL,32257,1155,(904) 445-5339,1,1,572,DUVAL,12031,USA,30.17651757,-81.60398098,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120048008497,10/23/2018 0:00,IMAGERY/OTHER,9/30/2019 0:00,http://www.duvalschools.org,ELEMENTARY,572,KG,8,1200480,FT_TEACHER
28,29,120000000000.0,AMIKIDS CLAY COUNTY,2056 FL 16,GREEN COVE SPRINGS,FL,32043,None,(904) 336-0081,4,1,23,CLAY,12019,USA,29.98234224,-81.71281004,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120030008486,10/23/2018 0:00,IMAGERY/OTHER,4/6/2020 0:00,http://oneclay.net,HIGH,20,6,12,1200300,3
29,30,120000000000.0,MATER INTERNATIONAL ACADEMY,3405 NW 27TH AVE,MIAMI,FL,33142,None,(305) 638-8016,1,1,175,MIAMI-DADE,12086,USA,25.80749445,-80.23988192,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120039008463,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.materinternational.com,ELEMENTARY,165,KG,5,1200390,10
30,31,120000000000.0,VIRTUE ARTS AND SCIENCE MIDDLE SCHOOL,1824 DEAN RD,JACKSONVILLE,FL,32216,None,(904) 469-8195,1,2, ,DUVAL,12031,USA,30.28885868,-81.59264237,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120048008469,10/23/2018 0:00,IMAGERY/OTHER,10/26/2018 0:00,http://www.valoracademyjax.org/,MIDDLE,-999,6,8,1200480,FT_TEACHER
31,32,120000000000.0,FOUR CORNERS CHARTER HIGH SCHOOL,9160 BELLA CITTA BLVD,DAVENPORT,FL,33896,5430,(407) 589-4600,1,2, ,OSCEOLA,12097,USA,28.27279324,-81.65300894,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120147008452,10/23/2018 0:00,IMAGERY/OTHER,2/4/2020 0:00,http://www.fourcornerscharter.org,HIGH,-999,9,12,1201470,FT_TEACHER
32,33,120000000000.0,MADISON VIRTUAL INSTRUCTION PROGRAM,210 NE DUVAL AVE,MADISON,FL,32340,2541,(850) 973-5829,1,1,5,MADISON,12079,USA,30.47102511,-83.40972994,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120120008444,10/23/2018 0:00,IMAGERY/OTHER,2/14/2019 0:00,http://www.madison.k12.fl.us/,OTHER,5,KG,12,1201200,FT_TEACHER
33,34,120000000000.0,SCHOOL OF ACADEMIC AND BEHAVIORAL LEARNING EXCELLENCE (SABLE,6423 9TH ST E,BRADENTON,FL,34203,7641,(941) 209-6579,4,1,14,MANATEE,12081,USA,27.42651217,-82.55307542,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120123008501,10/23/2018 0:00,IMAGERY/OTHER,10/26/2018 0:00,http://www.manateeschools.net/,ELEMENTARY,11,1,8,1201230,3
34,35,160000000000.0,ROCK CREEK ELEMENTARY,850 FEDERATION ROAD,TWIN FALLS,ID,83301,4339,(208) 732-7565,1,1,630,TWIN FALLS,16083,USA,42.60020618,-114.4982714,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160324001076,10/23/2018 0:00,IMAGERY/OTHER,10/26/2018 0:00,NOT AVAILABLE,ELEMENTARY,603,KG,5,1603240,27
35,36,170000000000.0,ARC,747 W LAFAYETTE AVE,JACKSONVILLE,IL,62650,1832,(217) 243-8438,4,1,11,MORGAN,17137,USA,39.7375685,-90.24027702,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=170016203208,10/23/2018 0:00,IMAGERY/OTHER,10/26/2018 0:00,NOT AVAILABLE,HIGH,11,10,12,1700162,0
